 ,GS029, GS028, GS021, GS023, GS022, GS027, GS026, GS051, GS108a, GS117a, GS011, GS012, GS013, GS014, GS015, GS016, GS017, GS018, GS019, GS119, GS049, GS113, GS112a, GS030, GS031, GS036, GS048a, GS034, GS035, GS122a, GS114, GS110a, GS120, GS121, GS123, GS148, GS149, GS007, GS006, GS005, GS004, GS003, GS002, GS001c, GS009, GS008
GS029,0.0, 126.8, 1543.8, 804.0, 1152.6, 121.9, 173.5, 6431.6, 18404.6, 16238.6, 4673.2, 4594.6, 4330.8, 3834.2, 2869.9, 2799.3, 2378.5, 2169.4, 1685.7, 15258.0, 6723.9, 18381.5, 18642.1, 103.1, 91.5, 45.0, 6725.7, 65.0, 207.7, 13825.5, 17267.5, 18827.5, 14915.0, 14142.0, 13426.7, 14462.1, 14416.6, 5424.9, 5645.4, 5666.6, 5616.6, 5380.4, 5302.0, 4538.8, 4984.0, 5032.6
GS028,126.8, 0.0, 1571.2, 869.0, 1188.5, 11.5, 275.9, 6452.3, 18335.0, 16163.8, 4764.1, 4686.5, 4418.2, 3925.9, 2963.3, 2896.2, 2475.7, 2257.2, 1732.1, 15145.1, 6739.7, 18274.4, 18521.1, 220.8, 179.7, 165.0, 6741.5, 92.8, 334.2, 13710.0, 17185.6, 18709.3, 14800.1, 14026.9, 13311.1, 14388.2, 14343.2, 5507.2, 5727.0, 5745.9, 5695.2, 5460.9, 5383.5, 4599.6, 5070.3, 5118.9
GS021,1543.8, 1571.2, 0.0, 807.7, 398.3, 1579.7, 1400.7, 7898.8, 19436.4, 15051.4, 3504.1, 3442.4, 3130.1, 2711.0, 1854.2, 1851.6, 1509.1, 1187.3, 294.2, 14638.0, 8206.7, 17369.6, 17821.8, 1585.7, 1623.6, 1564.4, 8208.7, 1507.7, 1537.9, 13334.4, 16097.8, 18672.8, 14363.0, 13627.4, 12952.0, 13315.5, 13265.6, 4140.4, 4350.1, 4350.5, 4294.9, 4079.2, 4011.8, 3099.2, 3751.2, 3799.0
GS023,804.0, 869.0, 807.7, 0.0, 415.8, 874.5, 638.8, 7091.1, 19203.9, 15813.9, 3916.6, 3841.8, 3563.9, 3082.0, 2128.8, 2074.6, 1659.5, 1411.1, 894.8, 15199.1, 7399.2, 18118.9, 18539.5, 820.2, 869.1, 812.8, 7401.2, 786.5, 750.3, 13826.8, 16863.8, 19237.5, 14892.3, 14132.8, 13433.7, 14058.2, 14009.3, 4644.3, 4863.2, 4880.1, 4828.9, 4596.2, 4519.8, 3735.0, 4213.3, 4261.9
GS022,1152.6, 1188.5, 398.3, 415.8, 0.0, 1196.3, 1004.9, 7504.3, 19392.0, 15409.0, 3735.4, 3667.1, 3369.6, 2917.1, 2001.1, 1972.1, 1583.3, 1287.2, 552.6, 14882.1, 7810.6, 17721.7, 18158.5, 1190.1, 1230.0, 1171.1, 7812.6, 1120.0, 1139.7, 13539.8, 16458.2, 18953.0, 14589.7, 13840.2, 13151.1, 13659.9, 13610.6, 4417.3, 4631.9, 4639.9, 4586.1, 4362.0, 4290.2, 3433.5, 4007.2, 4055.6
GS027,121.9, 11.5, 1579.7, 874.5, 1196.3, 0.0, 276.2, 6441.3, 18329.7, 16175.1, 4767.4, 4689.7, 4421.8, 3929.0, 2966.2, 2898.6, 2478.0, 2260.7, 1739.4, 15154.4, 6728.9, 18284.2, 18529.0, 213.3, 170.4, 158.4, 6730.7, 94.0, 328.6, 13718.9, 17196.7, 18710.7, 14809.1, 14035.9, 13320.0, 14399.5, 14354.5, 5511.4, 5731.3, 5750.5, 5699.9, 5465.4, 5387.9, 4605.9, 5074.1, 5122.7
GS026,173.5, 275.9, 1400.7, 638.8, 1004.9, 276.2, 0.0, 6539.5, 18574.3, 16200.1, 4499.9, 4421.3, 4157.2, 3660.9, 2696.7, 2626.8, 2206.1, 1995.9, 1528.0, 15302.0, 6836.9, 18400.9, 18705.5, 185.2, 230.3, 174.6, 6838.8, 183.2, 169.8, 13878.7, 17239.0, 18982.4, 14965.7, 14193.7, 13480.4, 14424.7, 14378.3, 5251.6, 5472.2, 5493.6, 5443.7, 5207.3, 5128.8, 4371.2, 4810.4, 4859.0
GS051,6431.6, 6452.3, 7898.8, 7091.1, 7504.3, 6441.3, 6539.5, 0.0, 12315.2, 16666.4, 9590.5, 9497.5, 9451.2, 8969.0, 8254.1, 8122.6, 7847.9, 7888.6, 7937.3, 15239.7, 360.0, 14600.0, 14127.2, 6363.5, 6341.7, 6399.4, 362.8, 6484.2, 6383.9, 14827.0, 15800.9, 13248.6, 15057.9, 14937.3, 14711.2, 17507.8, 17543.3, 10428.4, 10620.3, 10707.1, 10690.5, 10451.5, 10360.1, 10253.4, 9967.1, 10002.1
GS108a,18404.6, 18335.0, 19436.4, 19203.9, 19392.0, 18329.7, 18574.3, 12315.2, 0.0, 4621.4, 16885.5, 16956.6, 17245.6, 17711.3, 18636.7, 18665.4, 19046.3, 19350.3, 19667.5, 4861.7, 11991.7, 2322.2, 1848.9, 18399.5, 18345.9, 18399.8, 11989.5, 18418.5, 18486.6, 6134.6, 3592.8, 953.2, 5122.2, 5846.6, 6512.9, 6315.3, 6366.4, 16176.7, 15958.8, 15943.9, 15995.6, 16226.7, 16302.0, 17082.7, 16600.7, 16552.1
GS117a,16238.6, 16163.8, 15051.4, 15813.9, 15409.0, 16175.1, 16200.1, 16666.4, 4621.4, 0.0, 13766.7, 13860.2, 13912.6, 14392.9, 15069.6, 15202.8, 15438.2, 15347.1, 15097.8, 2096.9, 16308.6, 2318.5, 2780.0, 16334.0, 16326.6, 16281.4, 16305.9, 16174.4, 16369.8, 3321.9, 1049.9, 3670.3, 2450.0, 3039.6, 3662.7, 1776.5, 1822.3, 12921.5, 12723.7, 12641.1, 12660.6, 12902.8, 12994.6, 13087.4, 13388.6, 13352.2
