"","GS001c","GS002","GS003","GS004","GS005","GS006","GS007","GS008","GS009","GS011","GS013","GS014","GS015","GS016","GS017","GS018","GS019","GS021","GS022","GS023","GS026","GS027","GS028","GS029","GS030","GS031","GS034","GS035","GS036","GS048a","GS049","GS051","GS108a","GS110a","GS112a","GS113","GS114","GS117a","GS119","GS120","GS121","GS122a","GS123","GS148","GS149"
"UBX",0,1.36840088672377e-05,0,1.46920545369064e-05,0,0,0,0,0,0,6.3270716414322e-06,5.58032600264507e-06,0,5.81882506284331e-06,0,0,0,0,5.80932629242987e-06,0,0,3.20612498116402e-06,0,0,0,0,0,0,1.86079400080014e-05,0,0,0,0,0,0,0,2.5805985440263e-06,0,0,0,0,8.69648401151414e-06,0,0,0
"UPF0302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52929142130436e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssu72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84610808949302e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TraG",7.44474140690723e-06,0,0,0,0,0,0,5.68685880666955e-05,4.66044031840128e-05,1.73557878659902e-05,6.3270716414322e-06,0,1.66163560331219e-05,1.16376501256866e-05,0,0,0,5.57817816701065e-06,0,5.52929142130436e-06,1.36335439715877e-05,6.41224996232803e-06,3.72285572817197e-06,0,0,1.5322946418721e-06,0,0,0,5.82213381204211e-05,8.60015308272487e-06,1.78465199286139e-05,1.79830240253201e-05,0,9.35383694391439e-06,0,2.5805985440263e-06,0,0,0,0,0,0,0,0
"Glyco_hydro_65N",0,1.36840088672377e-05,5.14013287243475e-05,5.87682181476258e-05,0,8.33244057184349e-05,0,4.54948704533564e-05,1.86417612736051e-05,1.15705252439935e-05,0,5.58032600264507e-06,1.1077570688748e-05,1.16376501256866e-05,5.69221617898605e-06,0,0,1.11563563340213e-05,2.90466314621493e-05,0,1.36335439715877e-05,2.56489998493121e-05,3.72285572817197e-06,1.56966979379771e-05,2.34264625320762e-05,7.66147320936048e-06,1.59420982989781e-05,2.93083235638921e-05,2.79119100120021e-05,6.79248944738247e-05,0,0,0,2.95633493303901e-05,9.35383694391439e-06,0,5.1611970880526e-06,7.88202189625683e-06,0,0,0,0,7.22950795968826e-06,4.83863163497363e-05,1.4800891013639e-05
"PRP38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84610808949302e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72798100018166e-06,0,0,0,0
"DUF945",7.44474140690723e-06,0,0,0,0,0,0,2.84342940333477e-05,1.86417612736051e-05,1.15705252439935e-05,0,5.58032600264507e-06,0,0,2.84610808949302e-06,0,0,0,0,0,0,6.41224996232803e-06,0,0,3.60407115878096e-06,0,0,0,0,1.9407112706807e-05,0,0,0,0,9.35383694391439e-06,0,0,2.62734063208561e-06,0,0,6.72798100018166e-06,0,7.22950795968826e-06,0,0
"TRI5",0,0,0,0,0,0,0,0,0,0,0,5.58032600264507e-06,5.53878534437398e-06,0,0,0,0,0,0,0,6.81677198579385e-06,0,0,5.23223264599237e-06,0,0,0,1.46541617819461e-05,0,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,8.69648401151414e-06,0,8.06438605828938e-06,0
"Transposase_22",0,0,0,1.46920545369064e-05,4.37534638158854e-05,0,0,9.66765997133823e-05,0.000242342896556867,0,0,0,1.1077570688748e-05,2.32753002513732e-05,2.27688647159442e-05,2.48620158122421e-05,0,5.57817816701065e-06,0,0,0,3.20612498116402e-06,3.72285572817197e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5805985440263e-06,0,0,0,0,0,0,0,0
"Pex19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30397000400071e-06,0,0,5.94883997620464e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
